SrNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,HundredMillionOrMore,OneMillionOrMore,Funded,Industry,BangaloreBased,InMegaCity,TechRelated,PrivateEquity,SeedFunding,PrivateOrSeed,Year,FiveMillionOrMore,TopInvestor
1042,17-Feb,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",Private Equity,1000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
1043,17-Feb,Blackbuck,Logistics,Online freight aggregator,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,70000000,No,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,1,No
1044,17-Jan,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,366000,No,No,Yes,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
1045,17-Jan,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,825000,No,No,Yes,Other,No,No,Yes,No,Yes,Yes,2017,0,No
1046,17-Jan,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,0,No,No,No,Other,No,Yes,No,No,Yes,Yes,2017,0,No
1047,17-Jan,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,0,No,No,No,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
1048,17-Jan,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,0,No,No,No,Other,No,Yes,Yes,No,Yes,Yes,2017,0,No
1049,17-Jan,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,0,No,No,No,Consumer Internet,Yes,Yes,Yes,Yes,No,Yes,2017,0,No
1050,17-Jan,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,0,No,No,No,Other,Yes,Yes,Yes,Yes,No,Yes,2017,0,No
1051,17-Jan,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,13000000,No,Yes,Yes,Other,No,Yes,No,Yes,No,Yes,2017,1,No
1052,17-Jan,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,1,No
1053,17-Jan,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,35000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,1,No
